Name,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Image477,105,16,32,15,2,14,33,89,3,1
Image478,5,86,53,17,2,16,37,32,1,61
Image479,37,5,72,102,16,2,47,18,1,10
Image480,126,5,1,118,1,2,42,1,8,6
Image481,70,1,1,135,1,1,5,1,94,1
Image482,88,21,29,35,1,2,35,32,63,4
Image483,181,4,2,28,1,1,73,1,2,17
Image484,29,11,43,34,1,60,60,63,1,8
Image485,17,19,31,54,18,9,104,56,1,1
Image486,22,30,96,34,36,38,30,20,1,3
Image487,126,5,1,41,1,1,113,1,19,2
Image488,13,15,37,112,2,9,105,13,1,3
Image489,2,43,35,97,1,13,105,6,1,7
Image490,17,58,108,24,1,6,29,15,1,51
Image491,37,3,2,28,4,1,8,1,225,1
Image492,1,4,31,74,1,32,126,38,1,2
Image493,100,1,1,74,3,1,37,1,91,1
Image494,52,1,23,197,2,1,25,1,1,7
Image495,24,10,1,4,1,1,2,2,264,1
Image496,99,22,2,31,3,40,32,38,1,42
Image497,142,18,4,50,1,5,20,2,55,13
Image498,46,3,1,88,1,1,142,4,1,23
Image499,35,2,1,49,1,1,5,1,214,1
Image500,84,53,47,45,11,1,13,42,10,4
Image501,152,1,1,77,1,1,8,1,67,1
Image502,23,1,45,143,4,1,77,3,1,12
Image503,1,95,35,1,1,2,1,171,1,2
Image504,101,23,18,23,1,16,36,31,44,17
Image505,126,1,38,33,1,1,2,1,22,85
Image506,120,13,10,43,59,10,10,19,25,1
Image507,18,4,1,15,1,1,1,1,264,4
Image508,189,18,34,23,1,1,6,2,29,7
Image509,1,2,42,1,4,7,1,250,1,1
Image510,100,23,3,12,1,57,86,9,5,14
Image511,268,4,3,4,1,9,5,3,4,9
Image512,70,1,1,23,1,1,1,1,202,9
Image513,114,3,28,8,6,7,9,9,125,1
Image514,149,49,25,10,1,30,21,22,1,2
Image515,143,16,1,16,1,51,11,30,38,3
Image516,21,18,1,101,1,2,19,1,88,58
Image517,2,27,71,35,1,3,136,33,1,1
Image518,1,45,1,47,1,35,171,4,1,4
Image519,32,51,5,22,1,46,134,15,2,2
Image520,156,1,1,66,1,1,1,1,81,1
Image521,252,1,1,32,1,1,8,1,12,1
Image522,245,1,1,17,1,1,29,1,13,1
Image523,115,11,28,58,1,1,67,1,21,7
Image524,17,7,1,151,1,3,118,5,1,6
Image525,7,40,12,21,1,18,192,7,1,11
Image526,38,131,55,35,4,4,25,4,1,13
Image527,37,21,1,58,1,10,1,3,160,18
Image528,36,20,11,38,12,5,1,2,172,13
Image529,35,27,17,34,33,8,1,7,139,9
